_id,Year,County Name,Race/Ethnicity,No Early Prenatal Care,Births,SUIDS,Infant Dealths Counts,Preterm Birth,Female Population Age 15-44
22,2017,Daviess,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,87
23,2017,Gibson,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,114
24,2017,Grant,Non-Hispanic Black,24,66,Suppressed,Suppressed,Suppressed,842
25,2017,Jefferson,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,202
26,2017,Miami,Non-Hispanic Black,Suppressed,13,Suppressed,Suppressed,Suppressed,109
27,2017,Vanderburgh,Non-Hispanic Black,101,270,Suppressed,Suppressed,30,3661
28,2018,Clay,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,18
29,2018,Elkhart,Non-Hispanic Black,144,270,Suppressed,11,32,2395
30,2018,Gibson,Non-Hispanic Black,Suppressed,12,Suppressed,Suppressed,Suppressed,104
31,2018,Johnson,Non-Hispanic Black,24,71,Suppressed,Suppressed,Suppressed,834
32,2018,Parke,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,260
33,2018,Starke,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,17
34,2018,Tippecanoe,Non-Hispanic Black,93,253,Suppressed,Suppressed,38,2957
35,2018,Wells,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,32
36,2019,Decatur,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,30
37,2019,Elkhart,Non-Hispanic Black,125,252,Suppressed,Suppressed,Suppressed,2391
38,2019,Fulton,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,18
39,2019,Huntington,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,64
40,2019,Marion,Non-Hispanic Black,2266,4807,14,50,636,64206
41,2019,Porter,Non-Hispanic Black,28,112,Suppressed,Suppressed,Suppressed,1743
42,2019,Putnam,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,129
43,2014,Greene,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,98
44,2014,Harrison,Hispanic,Suppressed,10,Suppressed,Suppressed,Suppressed,151
45,2014,Spencer,Hispanic,Suppressed,11,Suppressed,Suppressed,Suppressed,128
46,2015,Fountain,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,87
47,2015,Knox,Hispanic,Suppressed,13,Suppressed,Suppressed,Suppressed,177
48,2015,Putnam,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,162
49,2015,Rush,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,53
50,2015,Steuben,Hispanic,Suppressed,13,Suppressed,Suppressed,Suppressed,223
51,2015,Wayne,Hispanic,Suppressed,23,Suppressed,Suppressed,Suppressed,380
52,2016,Harrison,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,144
53,2016,St. Joseph,Hispanic,167,387,Suppressed,Suppressed,50,5506
54,2016,Vanderburgh,Hispanic,20,66,Suppressed,Suppressed,Suppressed,1120
55,2016,Vigo,Hispanic,Suppressed,21,Suppressed,Suppressed,Suppressed,505
56,2017,Delaware,Hispanic,Suppressed,22,Suppressed,Suppressed,Suppressed,778
57,2017,Hamilton,Hispanic,57,149,Suppressed,Suppressed,13,3137
58,2017,Newton,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,201
59,2017,Ohio,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,18
60,2017,Sullivan,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,59
61,2018,Allen,Hispanic,227,467,Suppressed,Suppressed,40,6498
62,2018,Blackford,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,52
63,2018,De Kalb,Hispanic,Suppressed,18,Suppressed,Suppressed,Suppressed,318
64,2018,Gibson,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,110
65,2018,Greene,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,110
66,2018,Harrison,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,163
67,2018,Madison,Hispanic,Suppressed,75,Suppressed,Suppressed,Suppressed,1116
68,2018,Miami,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,218
69,2019,Allen,Hispanic,252,514,Suppressed,Suppressed,42,6684
70,2019,Bartholomew,Hispanic,49,121,Suppressed,Suppressed,16,1249
71,2019,Clark,Hispanic,45,121,Suppressed,Suppressed,Suppressed,1453
72,2019,Decatur,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,111
73,2019,Dubois,Hispanic,19,76,Suppressed,Suppressed,Suppressed,674
74,2019,Grant,Hispanic,Suppressed,46,Suppressed,Suppressed,Suppressed,598
75,2019,Howard,Hispanic,Suppressed,30,Suppressed,Suppressed,Suppressed,622
76,2019,Johnson,Hispanic,19,58,Suppressed,Suppressed,Suppressed,1401
77,2019,Lake,Hispanic,476,1311,Suppressed,Suppressed,121,21846
78,2019,Tipton,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,89
79,2014,Floyd,Non-Hispanic White,174,755,Suppressed,Suppressed,86,12800
80,2014,Grant,Non-Hispanic White,159,621,Suppressed,Suppressed,61,11723
81,2014,Jasper,Non-Hispanic White,93,346,Suppressed,Suppressed,24,5465
82,2014,Lake,Non-Hispanic White,726,2876,Suppressed,13,235,46086
83,2015,Crawford,Non-Hispanic White,Suppressed,Suppressed,Suppressed,Suppressed,17,1663
84,2015,Decatur,Non-Hispanic White,Suppressed,342,Suppressed,Suppressed,36,4567
85,2015,Howard,Non-Hispanic White,236,835,Suppressed,Suppressed,76,12435
86,2015,Jennings,Non-Hispanic White,83,296,Suppressed,Suppressed,26,4840
87,2015,Parke,Non-Hispanic White,93,Suppressed,Suppressed,Suppressed,18,3079
88,2015,Randolph,Non-Hispanic White,65,281,Suppressed,Suppressed,Suppressed,4012
89,2015,Ripley,Non-Hispanic White,Suppressed,317,Suppressed,Suppressed,28,4882
90,2015,Shelby,Non-Hispanic White,114,448,Suppressed,Suppressed,Suppressed,7203
91,2015,Vigo,Non-Hispanic White,382,1159,Suppressed,Suppressed,121,18395
92,2015,Wabash,Non-Hispanic White,103,318,Suppressed,Suppressed,28,5268
93,2015,Warren,Non-Hispanic White,Suppressed,Suppressed,Suppressed,Suppressed,14,1269
94,2016,Blackford,Non-Hispanic White,Suppressed,126,Suppressed,Suppressed,Suppressed,1857
95,2016,Henry,Non-Hispanic White,Suppressed,457,Suppressed,Suppressed,Suppressed,7448
96,2016,Parke,Non-Hispanic White,Suppressed,Suppressed,Suppressed,Suppressed,15,3000
97,2016,Shelby,Non-Hispanic White,87,457,Suppressed,Suppressed,Suppressed,7118
98,2016,Wayne,Non-Hispanic White,284,648,Suppressed,Suppressed,Suppressed,10459
99,2017,Bartholomew,Non-Hispanic White,223,797,Suppressed,Suppressed,51,11890
100,2017,Cass,Non-Hispanic White,67,308,Suppressed,Suppressed,29,5001
101,2017,Jay,Non-Hispanic White,93,275,Suppressed,Suppressed,Suppressed,3387
102,2017,Madison,Non-Hispanic White,237,1168,Suppressed,Suppressed,140,19535
103,2017,Montgomery,Non-Hispanic White,93,417,Suppressed,Suppressed,Suppressed,5986
104,2017,Putnam,Non-Hispanic White,Suppressed,358,Suppressed,Suppressed,Suppressed,6416
105,2017,Rush,Non-Hispanic White,43,Suppressed,Suppressed,Suppressed,17,2754
106,2018,Benton,Non-Hispanic White,28,95,Suppressed,Suppressed,Suppressed,1342
107,2018,Delaware,Non-Hispanic White,174,893,Suppressed,Suppressed,84,22119
108,2018,Dubois,Non-Hispanic White,73,428,Suppressed,Suppressed,48,6403
109,2018,Perry,Non-Hispanic White,54,178,Suppressed,Suppressed,Suppressed,2764
110,2019,Dubois,Non-Hispanic White,79,440,Suppressed,Suppressed,58,6309
111,2019,Gibson,Non-Hispanic White,Suppressed,360,Suppressed,Suppressed,Suppressed,5429
112,2019,Hamilton,Non-Hispanic White,378,2975,Suppressed,14,241,54101
113,2019,Madison,Non-Hispanic White,269,1162,Suppressed,Suppressed,121,19384
114,2019,Martin,Non-Hispanic White,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,1557
115,2019,Newton,Non-Hispanic White,30,112,Suppressed,Suppressed,Suppressed,2000
116,2019,St. Joseph,Non-Hispanic White,638,2135,Suppressed,16,199,37170
117,2014,Bartholomew,All,331,1052,Suppressed,10,94,14933
118,2014,Blackford,All,45,136,Suppressed,Suppressed,26,2053
119,2014,Brown,All,27,97,Suppressed,Suppressed,Suppressed,2205
120,2014,Hamilton,All,631,3888,Suppressed,19,403,61680
121,2014,Jasper,All,112,385,Suppressed,Suppressed,29,6076
122,2014,Montgomery,All,128,430,Suppressed,Suppressed,34,6482
123,2014,Randolph,All,68,297,Suppressed,Suppressed,24,4366
124,2014,Sullivan,All,81,247,Suppressed,Suppressed,30,3373
125,2014,Wells,All,108,336,Suppressed,Suppressed,28,4774
126,2015,Boone,All,116,773,Suppressed,Suppressed,79,11963
127,2015,Brown,All,40,120,Suppressed,Suppressed,Suppressed,2238
128,2015,Daviess,All,191,519,Suppressed,Suppressed,43,5835
129,2015,Dearborn,All,125,536,Suppressed,Suppressed,54,8671
130,2015,Huntington,All,111,434,Suppressed,Suppressed,47,6860
131,2015,Kosciusko,All,607,1027,Suppressed,7,71,14596
132,2015,Pike,All,19,137,Suppressed,Suppressed,10,2036
133,2015,Spencer,All,49,191,Suppressed,Suppressed,12,3412
134,2015,Starke,All,118,263,Suppressed,Suppressed,18,4007
135,2015,Tippecanoe,All,580,2388,7,23,204,44903
136,2015,Vermillion,All,54,169,Suppressed,Suppressed,Suppressed,2643
137,2016,Fayette,All,76,216,Suppressed,Suppressed,23,4033
138,2016,Huntington,All,119,417,Suppressed,5,37,6752
139,2016,Jefferson,All,64,388,Suppressed,Suppressed,40,6455
140,2016,Marion,All,5071,14205,13,124,1638,206514
141,2016,Pulaski,All,56,131,Suppressed,Suppressed,20,2043
142,2016,Putnam,All,86,390,Suppressed,Suppressed,43,6868
143,2016,Rush,All,62,203,Suppressed,Suppressed,18,2878
144,2016,Starke,All,92,279,Suppressed,Suppressed,28,3973
145,2016,Wayne,All,338,749,Suppressed,Suppressed,61,11973
146,2017,Benton,All,34,109,Suppressed,Suppressed,11,1464
147,2017,Hamilton,All,611,3887,Suppressed,23,347,64594
148,2017,LaPorte,All,525,1276,Suppressed,6,150,18248
149,2017,Marion,All,5609,14331,14,107,1627,208366
150,2017,Ohio,All,10,70,Suppressed,Suppressed,Suppressed,892
151,2017,Ripley,All,120,339,Suppressed,6,25,5023
152,2017,Shelby,All,90,499,Suppressed,7,60,7796
153,2017,Vigo,All,416,1223,Suppressed,13,145,21285
154,2017,Washington,All,128,322,Suppressed,Suppressed,41,4820
155,2017,Wells,All,77,328,Suppressed,Suppressed,31,4723
156,2018,Delaware,All,226,1072,Suppressed,9,113,25959
157,2018,Franklin,All,104,277,Suppressed,Suppressed,15,3844
158,2018,Lake,All,2024,5765,7,41,629,92479
159,2018,Marion,All,5397,13887,14,112,1556,209633
160,2018,Marshall,All,205,535,Suppressed,6,58,7963
161,2018,Owen,All,63,245,Suppressed,Suppressed,26,3431
162,2018,Putnam,All,61,376,Suppressed,Suppressed,22,6956
163,2018,Rush,All,48,196,Suppressed,Suppressed,12,2883
164,2018,Scott,All,95,257,Suppressed,Suppressed,37,4325
165,2018,Steuben,All,142,392,Suppressed,Suppressed,32,5620
166,2018,Sullivan,All,51,222,Suppressed,Suppressed,32,3257
167,2018,Washington,All,114,318,Suppressed,Suppressed,25,4881
168,2019,Brown,All,19,101,Suppressed,Suppressed,Suppressed,2185
169,2019,De Kalb,All,236,547,Suppressed,Suppressed,54,7872
170,2019,Madison,All,348,1414,Suppressed,12,150,23152
171,2019,Ohio,All,14,50,Suppressed,Suppressed,11,904
172,2014,Blackford,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,8
173,2014,Clinton,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,13
174,2014,Fountain,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,8
175,2014,Jackson,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,71
176,2014,Monroe,Non-Hispanic Black,27,71,Suppressed,Suppressed,Suppressed,1559
177,2014,Montgomery,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,43
178,2014,Morgan,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,44
179,2014,Noble,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,40
180,2014,Scott,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,11
181,2014,Union,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,11
182,2014,Washington,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,10
183,2014,White,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,15
184,2015,Decatur,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,19
185,2015,Floyd,Non-Hispanic Black,23,80,Suppressed,Suppressed,10,869
186,2015,Harrison,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,29
187,2015,Howard,Non-Hispanic Black,33,92,Suppressed,Suppressed,Suppressed,1213
188,2015,Jennings,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,31
189,2015,Monroe,Non-Hispanic Black,20,67,Suppressed,Suppressed,Suppressed,1580
190,2015,Pulaski,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,14
191,2015,Vanderburgh,Non-Hispanic Black,93,290,Suppressed,Suppressed,38,3671
192,2015,Vigo,Non-Hispanic Black,35,80,Suppressed,Suppressed,Suppressed,1630
193,2016,Boone,Non-Hispanic Black,Suppressed,19,Suppressed,Suppressed,Suppressed,223
194,2016,Clinton,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,15
195,2016,Franklin,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,17
196,2016,Harrison,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,28
197,2016,Huntington,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,92
198,2016,Jennings,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,30
199,2016,Lake,Non-Hispanic Black,583,1742,Suppressed,23,234,24761
200,2016,Randolph,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,26
201,2016,Ripley,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,21
202,2016,Scott,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,13
203,2016,Steuben,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,44
204,2017,Cass,Non-Hispanic Black,Suppressed,13,Suppressed,Suppressed,Suppressed,81
205,2017,Crawford,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,5
206,2017,Franklin,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,16
207,2017,Knox,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,338
208,2017,Madison,Non-Hispanic Black,44,137,Suppressed,Suppressed,18,1897
209,2017,Noble,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,41
210,2017,St. Joseph,Non-Hispanic Black,349,746,6,15,95,7990
211,2017,Tippecanoe,Non-Hispanic Black,113,265,Suppressed,Suppressed,55,2827
212,2017,Union,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,8
213,2018,Brown,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,16
214,2018,Clinton,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,25
215,2018,Daviess,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,99
216,2018,Lagrange,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,31
217,2018,Morgan,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,56
218,2018,Perry,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,14
219,2018,Pike,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,7
220,2018,Rush,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,22
221,2019,Dearborn,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,62
222,2019,De Kalb,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,36
223,2019,Henry,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,69
224,2019,Rush,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,21
225,2019,Shelby,Non-Hispanic Black,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,104
226,2019,Tippecanoe,Non-Hispanic Black,114,270,Suppressed,Suppressed,35,3170
227,2014,Grant,Hispanic,Suppressed,41,Suppressed,Suppressed,Suppressed,574
228,2014,Hamilton,Hispanic,40,116,Suppressed,Suppressed,Suppressed,2601
229,2014,Hendricks,Hispanic,26,67,Suppressed,Suppressed,Suppressed,1233
230,2014,Jackson,Hispanic,32,55,Suppressed,Suppressed,Suppressed,521
231,2014,Randolph,Hispanic,Suppressed,20,Suppressed,Suppressed,Suppressed,162
232,2014,Ripley,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,88
233,2014,Warrick,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,223
234,2015,Gibson,Hispanic,Suppressed,10,Suppressed,Suppressed,Suppressed,119
235,2015,Jackson,Hispanic,35,65,Suppressed,Suppressed,Suppressed,476
236,2015,Perry,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,46
237,2015,Vigo,Hispanic,Suppressed,21,Suppressed,Suppressed,Suppressed,502
238,2015,Washington,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,90
239,2016,Brown,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,51
240,2016,Daviess,Hispanic,14,42,Suppressed,Suppressed,Suppressed,321
241,2016,Gibson,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,113
242,2016,Madison,Hispanic,Suppressed,74,Suppressed,Suppressed,Suppressed,1066
243,2016,Morgan,Hispanic,Suppressed,16,Suppressed,Suppressed,Suppressed,218
244,2016,Orange,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,79
245,2016,Sullivan,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,57
246,2016,Washington,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,77
247,2016,White,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,400
248,2017,Carroll,Hispanic,Suppressed,10,Suppressed,Suppressed,Suppressed,172
249,2017,Gibson,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,112
250,2017,Hancock,Hispanic,Suppressed,18,Suppressed,Suppressed,Suppressed,440
251,2017,Jay,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,119
252,2017,Morgan,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,234
253,2017,Ripley,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,113
254,2017,Tippecanoe,Hispanic,81,266,Suppressed,Suppressed,Suppressed,4016
255,2017,Warrick,Hispanic,Suppressed,19,Suppressed,Suppressed,Suppressed,247
256,2018,Bartholomew,Hispanic,52,109,Suppressed,Suppressed,Suppressed,1208
257,2018,Kosciusko,Hispanic,53,92,Suppressed,Suppressed,Suppressed,1418
258,2018,Marshall,Hispanic,Suppressed,76,Suppressed,Suppressed,Suppressed,1068
259,2018,Rush,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,67
260,2019,Elkhart,Hispanic,310,730,Suppressed,Suppressed,72,7573
261,2019,Henry,Hispanic,Suppressed,20,Suppressed,Suppressed,Suppressed,162
262,2019,Jasper,Hispanic,16,46,Suppressed,Suppressed,Suppressed,502
263,2019,Noble,Hispanic,47,97,Suppressed,Suppressed,Suppressed,1129
264,2019,Randolph,Hispanic,13,24,Suppressed,Suppressed,Suppressed,190
265,2019,Spencer,Hispanic,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,139
266,2014,Elkhart,Non-Hispanic White,817,2207,Suppressed,11,186,28077
267,2014,Hancock,Non-Hispanic White,140,694,Suppressed,Suppressed,77,12309
268,2014,Johnson,Non-Hispanic White,438,1633,Suppressed,Suppressed,147,26159
269,2014,Randolph,Non-Hispanic White,57,272,Suppressed,Suppressed,Suppressed,4083
270,2014,Rush,Non-Hispanic White,Suppressed,194,Suppressed,Suppressed,13,2803
271,2014,St. Joseph,Non-Hispanic White,690,2336,Suppressed,16,180,38337
272,2014,Wells,Non-Hispanic White,95,312,Suppressed,Suppressed,Suppressed,4526
273,2015,Fulton,Non-Hispanic White,97,240,Suppressed,Suppressed,Suppressed,3184
274,2015,Harrison,Non-Hispanic White,93,432,Suppressed,Suppressed,Suppressed,6636
275,2015,Jefferson,Non-Hispanic White,74,333,Suppressed,Suppressed,28,5981
276,2015,Johnson,Non-Hispanic White,353,1660,Suppressed,Suppressed,152,26448
277,2015,Lake,Non-Hispanic White,732,2768,Suppressed,Suppressed,217,45316
278,2015,Lawrence,Non-Hispanic White,Suppressed,478,Suppressed,Suppressed,Suppressed,7321
279,2015,Scott,Non-Hispanic White,Suppressed,290,Suppressed,Suppressed,Suppressed,4146
280,2015,Sullivan,Non-Hispanic White,Suppressed,199,Suppressed,Suppressed,15,3257
281,2015,Tippecanoe,Non-Hispanic White,345,1717,Suppressed,15,140,33597
282,2016,Delaware,Non-Hispanic White,243,1008,Suppressed,Suppressed,97,22433
283,2016,Franklin,Non-Hispanic White,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed,3738
284,2016,Huntington,Non-Hispanic White,109,400,Suppressed,5,Suppressed,6300
285,2016,Jasper,Non-Hispanic White,103,345,Suppressed,7,41,5489
286,2016,Jefferson,Non-Hispanic White,53,354,Suppressed,Suppressed,Suppressed,5877
287,2016,Knox,Non-Hispanic White,84,419,Suppressed,Suppressed,Suppressed,6114
288,2016,Perry,Non-Hispanic White,62,192,Suppressed,Suppressed,Suppressed,2826
289,2016,Pike,Non-Hispanic White,21,Suppressed,Suppressed,Suppressed,Suppressed,1924
290,2016,Scott,Non-Hispanic White,Suppressed,279,Suppressed,Suppressed,28,4084
291,2016,Warrick,Non-Hispanic White,95,599,Suppressed,Suppressed,50,10123
292,2017,Allen,Non-Hispanic White,1227,3501,Suppressed,20,330,52284
293,2017,De Kalb,Non-Hispanic White,179,487,Suppressed,Suppressed,Suppressed,7310
294,2017,Franklin,Non-Hispanic White,88,273,Suppressed,Suppressed,Suppressed,3675
295,2017,Lawrence,Non-Hispanic White,Suppressed,467,Suppressed,Suppressed,50,7291
296,2017,Parke,Non-Hispanic White,90,199,Suppressed,Suppressed,Suppressed,2967
297,2017,Washington,Non-Hispanic White,Suppressed,315,Suppressed,Suppressed,Suppressed,4659
298,2017,Wayne,Non-Hispanic White,266,695,Suppressed,Suppressed,50,10272
299,2018,Carroll,Non-Hispanic White,54,190,Suppressed,Suppressed,Suppressed,3100
300,2018,Gibson,Non-Hispanic White,63,402,Suppressed,Suppressed,Suppressed,5451
301,2018,Grant,Non-Hispanic White,152,639,Suppressed,Suppressed,79,10921
302,2018,Howard,Non-Hispanic White,224,823,Suppressed,Suppressed,90,12087
303,2018,Ripley,Non-Hispanic White,118,331,Suppressed,Suppressed,Suppressed,4744
304,2018,Vanderburgh,Non-Hispanic White,374,1620,Suppressed,9,150,29214
305,2019,Bartholomew,Non-Hispanic White,145,764,Suppressed,Suppressed,61,11828
306,2019,Crawford,Non-Hispanic White,30,101,Suppressed,Suppressed,14,1587
307,2019,Daviess,Non-Hispanic White,208,503,Suppressed,Suppressed,34,5365
308,2019,Dearborn,Non-Hispanic White,60,254,Suppressed,Suppressed,Suppressed,8177
309,2019,Fulton,Non-Hispanic White,71,220,Suppressed,Suppressed,Suppressed,3019
310,2019,Knox,Non-Hispanic White,93,388,Suppressed,Suppressed,Suppressed,5887
311,2019,Orange,Non-Hispanic White,65,228,Suppressed,Suppressed,Suppressed,3103
312,2019,Perry,Non-Hispanic White,42,147,Suppressed,Suppressed,21,2750
313,2019,Tipton,Non-Hispanic White,Suppressed,147,Suppressed,Suppressed,20,2277
314,2014,Clinton,All,146,461,Suppressed,Suppressed,33,5778
315,2014,Knox,All,100,484,Suppressed,Suppressed,39,6872
316,2014,Marshall,All,228,570,Suppressed,Suppressed,47,8354
317,2014,Spencer,All,42,249,Suppressed,Suppressed,18,3451
