COUNTY,FEMALE_COUNT,MALE_COUNT,18-22_COUNT,23-27_COUNT,28-32_COUNT,33-37_COUNT,38-42_COUNT,43-47_COUNT,48-52_COUNT,53-57_COUNT,58-62_COUNT,MARRIED_COUNT,SEPARATED_COUNT,DIVORCED_COUNT,SINGLE_COUNT,WIDOWED_COUNT,BLACK_COUNT,WHITE_COUNT,CITIZEN_COUNT,NO_FORMAL_ED_COUNT,NO_HS_DIPLOMA_COUNT,HS_DIPLOMA_COUNT,ATTENDING_SCHOOL_COUNT,QUESTION_NUM,QUESTION_LONG_DESC,QUESTION_SHORT_DESC,QUESTION_COUNT,COUNTY_COUNT,ETL_RUN_TIMESTAMP
Madison ,3745,1527,606,852,872,729,594,490,375,288,182,828,446,843,2961,109,763,4184,5248,369,898,1172,647,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,5273,9301,2021.03.28 22:00:05
Marion,27262,11416,4779,6573,6714,5427,4563,3162,2418,1924,1314,4055,2527,3118,27180,573,18584,16434,37422,4425,12429,9403,3372,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,38685,83724,2021.03.28 22:00:05
Marshall ,697,229,88,175,175,126,119,75,48,47,42,209,89,167,423,,,817,915,81,227,232,69,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,926,1808,2021.03.28 22:00:05
Martin ,191,77,32,44,36,39,30,27,,21,,67,24,52,115,,,262,266,,104,51,21,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,268,820,2021.03.28 22:00:05
Miami ,711,290,111,161,181,153,137,83,68,46,24,253,95,177,446,,32,924,999,77,270,123,114,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,1001,1787,2021.03.28 22:00:05
Monroe ,2100,1065,540,570,462,442,353,245,185,148,89,480,195,477,1830,38,347,2616,3135,505,909,578,514,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,3166,6156,2021.03.28 22:00:05
Montgomery ,719,265,119,176,197,145,106,79,41,44,32,241,75,166,441,22,,920,977,125,223,312,72,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,984,1925,2021.03.28 22:00:05
Morgan ,1397,508,202,290,323,241,237,174,145,97,77,357,156,361,921,56,,1821,1901,170,420,701,156,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,1905,3687,2021.03.28 22:00:05
Newton ,214,77,34,38,60,34,40,24,21,,,69,30,41,137,,,269,290,23,77,59,,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,291,555,2021.03.28 22:00:05
Noble ,727,242,119,147,169,132,122,86,60,55,30,216,83,178,466,,,842,961,61,202,188,113,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,969,1866,2021.03.28 22:00:05
Ohio ,77,29,,,,,,,,,,,,,60,,0,100,104,,,,25,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,106,196,2021.03.28 22:00:05
Orange ,475,163,86,103,101,99,78,47,37,30,,164,48,140,259,,,621,636,60,180,170,43,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,638,1244,2021.03.28 22:00:05
Owen ,374,182,64,80,93,63,67,57,48,33,22,129,49,114,237,,,541,553,69,147,158,30,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,556,1148,2021.03.28 22:00:05
Parke ,247,90,38,45,55,41,28,33,36,26,,71,29,59,154,,,317,335,42,126,66,24,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,337,954,2021.03.28 22:00:05
Perry ,357,128,57,94,73,64,63,47,38,22,,92,47,93,240,,,467,487,33,184,114,44,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,487,965,2021.03.28 22:00:05
Pike ,196,74,21,49,49,47,28,,,21,,74,28,41,117,,,256,269,29,83,58,,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,270,802,2021.03.28 22:00:05
Porter ,2481,980,396,586,551,470,465,306,232,185,112,555,239,520,1974,63,362,2613,3444,354,733,809,341,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,3461,6650,2021.03.28 22:00:05
Posey ,350,144,52,63,82,70,65,60,33,36,,120,48,100,196,,,467,493,46,117,174,30,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,494,983,2021.03.28 22:00:05
Pulaski ,229,75,34,41,54,42,43,31,26,,,62,39,53,135,,,280,303,23,62,61,28,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,304,571,2021.03.28 22:00:05
Putnam ,542,210,99,113,130,97,109,69,41,35,26,190,65,124,340,,,726,751,65,272,193,50,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,752,1528,2021.03.28 22:00:05
Randolph ,465,205,73,105,115,97,90,61,43,34,23,135,53,126,333,,,624,668,48,123,118,85,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,670,1192,2021.03.28 22:00:05
Ripley ,530,173,96,108,145,76,101,56,41,,29,144,67,116,357,,,672,689,33,96,152,185,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,703,1194,2021.03.28 22:00:05
Rush ,338,114,49,80,81,72,46,40,23,,,118,37,75,209,,,419,440,22,37,66,116,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,452,808,2021.03.28 22:00:05
Saint Joseph ,6123,2446,1047,1357,1487,1146,1083,742,572,422,286,1147,612,927,5475,109,2650,4870,8437,874,2450,1688,788,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,8569,16834,2021.03.28 22:00:05
Scott ,672,241,100,133,159,134,115,88,65,56,28,181,80,173,438,23,,855,899,43,124,131,176,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,913,1600,2021.03.28 22:00:05
Shelby ,877,348,140,196,188,178,127,99,113,79,50,192,126,242,623,31,31,1125,1190,34,123,243,293,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,1225,2156,2021.03.28 22:00:05
Spencer ,285,109,47,58,62,44,49,29,33,21,,84,44,71,178,,,379,391,54,83,110,24,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,394,804,2021.03.28 22:00:05
Starke ,466,188,67,108,95,88,75,56,60,43,24,147,62,107,307,,,618,653,39,127,160,36,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,654,1250,2021.03.28 22:00:05
Steuben ,557,193,81,152,121,105,95,62,46,28,26,192,63,102,354,,,695,742,68,161,137,95,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,750,1355,2021.03.28 22:00:05
Sullivan ,441,163,87,107,96,70,76,62,31,28,,138,40,128,273,,,590,602,66,148,186,48,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,604,1188,2021.03.28 22:00:05
Switzerland ,205,74,29,47,51,52,23,23,,,,60,22,35,149,,,264,277,,25,64,42,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,279,476,2021.03.28 22:00:05
Tippecanoe ,3112,1194,630,844,763,553,459,332,222,162,142,656,291,523,2649,49,936,2947,4236,438,1279,1093,424,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,4306,8689,2021.03.28 22:00:05
Tipton ,249,74,32,48,49,52,52,33,,,,78,23,63,150,,,296,323,,54,58,50,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,323,586,2021.03.28 22:00:05
Union ,140,42,,37,25,24,29,,,,,48,,40,81,,,178,178,,30,40,35,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,182,363,2021.03.28 22:00:05
Vanderburgh ,4589,2043,834,1036,1001,953,849,638,453,361,211,858,509,1066,3935,117,1299,4945,6578,584,1785,1948,494,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,6632,13191,2021.03.28 22:00:05
Vermillion ,331,136,62,73,73,55,59,45,36,21,,106,38,91,215,,,452,466,77,188,72,36,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,467,954,2021.03.28 22:00:05
Vigo ,2899,1257,694,676,659,532,469,329,298,215,126,711,257,691,2304,79,459,3497,4130,364,1356,882,483,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,4156,8501,2021.03.28 22:00:05
Wabash ,504,198,80,117,107,111,97,54,45,36,22,149,58,152,317,,,655,698,58,98,172,93,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,702,1249,2021.03.28 22:00:05
Warren ,112,42,,28,34,25,,,,,,30,,35,60,,,145,154,,31,58,,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,154,314,2021.03.28 22:00:05
Warrick ,772,294,122,178,149,162,152,97,70,47,40,214,107,199,517,,48,970,1062,142,235,310,82,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,1067,2217,2021.03.28 22:00:05
Washington ,632,255,92,116,146,128,119,86,66,59,36,244,53,177,377,,,844,881,62,116,177,146,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,888,1696,2021.03.28 22:00:05
Wayne ,1778,750,373,368,387,386,291,226,183,116,95,416,213,350,1445,54,214,2139,2457,137,397,342,584,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,2529,4308,2021.03.28 22:00:05
Wells ,435,118,78,120,78,76,48,37,41,32,,152,46,102,236,,,521,551,44,57,161,71,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,553,979,2021.03.28 22:00:05
White ,367,129,65,74,73,71,73,53,21,24,,130,24,75,242,,,458,491,49,88,98,62,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,496,972,2021.03.28 22:00:05
Whitley ,436,137,55,106,106,76,74,40,30,35,23,130,45,94,291,,0,532,573,43,151,85,77,1,"In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?",Not enough money for food last 12 mos.?,573,1090,2021.03.28 22:00:05
Adams ,223,85,44,50,64,46,37,,,,,56,27,57,160,,,279,306,,73,105,31,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,308,1066,2021.03.28 22:00:05
Allen ,4570,1579,768,1022,1108,913,710,501,359,264,169,834,451,741,3849,103,1989,3490,6041,500,1844,1712,667,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,6149,20940,2021.03.28 22:00:05
Bartholomew ,730,322,90,163,196,168,134,80,78,48,30,209,107,191,513,,42,932,1020,74,209,350,168,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,1052,3837,2021.03.28 22:00:05
Benton ,106,31,,,,26,,,,,0,38,,23,59,,,126,137,,35,57,,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,137,391,2021.03.28 22:00:05
Blackford ,181,75,26,36,64,36,25,22,,,,62,25,37,125,,,244,256,,66,91,27,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,256,701,2021.03.28 22:00:05
Boone ,499,228,52,130,130,101,80,75,43,58,21,125,70,134,352,,34,657,725,97,245,245,63,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,727,1965,2021.03.28 22:00:05
Brown ,124,55,,,23,25,26,,,,,48,,28,75,,,171,178,,51,36,23,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,179,616,2021.03.28 22:00:05
Carroll ,168,63,,33,34,34,33,29,,,,52,,45,106,,,217,231,21,85,55,24,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,231,709,2021.03.28 22:00:05
Cass ,377,135,62,96,85,82,65,45,24,23,,92,55,97,251,,,446,505,36,192,149,45,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,512,1646,2021.03.28 22:00:05
Clark ,1299,445,173,265,296,251,244,165,122,84,53,293,158,272,951,30,271,1339,1710,150,447,425,288,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,1744,6354,2021.03.28 22:00:05
Clay ,518,178,55,107,114,108,89,55,62,32,29,185,78,133,282,,,669,695,77,290,249,45,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,696,1715,2021.03.28 22:00:05
Clinton ,509,242,80,104,135,112,108,58,54,32,22,157,82,106,368,,,676,738,94,368,197,41,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,751,1849,2021.03.28 22:00:05
Crawford ,181,70,21,30,40,38,33,34,,,,76,32,54,77,,,237,251,23,94,96,,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,251,668,2021.03.28 22:00:05
Daviess,387,135,54,85,78,80,86,39,32,21,,91,57,135,225,,,473,516,63,226,141,25,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,522,1434,2021.03.28 22:00:05
Dearborn ,313,123,42,68,67,74,70,40,39,,,93,47,60,224,,,420,429,45,99,86,77,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,436,1806,2021.03.28 22:00:05
Decatur ,253,79,34,61,51,50,51,30,,,,62,32,65,153,,,315,328,21,56,103,58,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,332,1324,2021.03.28 22:00:05
Dekalb ,396,148,68,88,80,100,63,50,35,,,119,44,90,269,,,505,544,56,202,117,48,2,"In the last 12 months, has your utility company shut off your service for not paying your bills?",Utilities shut off last 12 mos.?,544,1830,2021.03.28 22:00:05
