_id,ZIP_CD,PATIENT_COUNT,POPULATION,PERCENTAGE
339,47040,1351,5480,24.6532
340,47041,1334,6125,21.7795
341,47043,1354,5250,25.7904
342,47124,1123,4264,26.3367
343,47138,1157,4373,26.4578
344,47164,786,3779,20.7991
345,47232,618,2839,21.7682
346,47320,932,4134,22.5447
347,47383,561,2960,18.9527
348,47394,2096,8470,24.7461
349,47459,700,3795,18.4453
350,47471,521,2727,19.1052
351,47558,559,4406,12.6872
352,47613,785,2679,29.3019
353,47648,1449,4373,33.1351
354,47868,535,2937,18.2158
355,47918,1830,6321,28.9511
356,46148,1218,5097,23.8964
357,46320,2620,15508,16.8945
358,46327,2177,12153,17.9132
360,46349,733,3336,21.9724
361,46504,674,3413,19.748
362,46554,887,4942,17.9481
363,46573,878,3565,24.6283
364,46590,1229,4908,25.0407
365,46732,704,3169,22.2152
366,46740,472,4060,11.6256
367,46741,673,4647,14.4824
368,46746,971,4036,24.0584
369,46779,489,2166,22.5761
370,46785,323,1542,20.9468
371,46787,779,3893,20.0102
372,46910,784,3360,23.3333
373,46914,611,4908,12.449
374,46928,1078,4951,21.7733
375,46929,802,3214,24.9533
376,46938,753,3200,23.5312
377,47024,700,3226,21.6986
378,47118,708,3502,20.217
379,47283,725,3386,21.4116
380,47305,685,4106,16.6829
381,47353,1543,5879,26.2459
382,47405,105,4427,2.3718
383,47454,1978,7688,25.7284
384,47638,1107,3577,30.9477
385,47639,1370,4069,33.6692
386,47725,2567,15851,16.1945
387,47901,784,3518,22.2853
388,47923,919,3494,26.3022
389,47954,483,2220,21.7567
390,47993,1217,3918,31.0617
391,46001,2609,10459,24.945
392,46048,301,2406,12.5103
393,46120,1649,5954,27.6956
394,46130,619,2508,24.681
395,46172,511,2427,21.0548
396,46182,579,1927,30.0467
397,46201,5995,30962,19.3624
398,46382,476,2108,22.5806
399,46409,1106,8932,12.3824
401,46919,427,2390,17.8661
402,47108,398,2463,16.1591
403,47125,335,1658,20.205
405,47227,350,1598,21.9023
406,47235,433,1784,24.2713
407,47380,379,2004,18.9121
408,47384,505,2000,25.25
409,47462,1107,4871,22.7263
410,47713,2721,11032,24.6646
411,47946,492,2044,24.0704
413,47990,411,1627,25.2612
414,46041,6367,23891,26.6502
415,46118,1116,5015,22.2532
416,46167,1722,6336,27.178
417,46168,9605,30309,31.6902
418,46204,2316,5125,45.1902
419,46241,6924,30670,22.5758
420,46268,5271,24965,21.1135
421,46322,4920,23727,20.7358
422,46342,7094,31244,22.7051
423,46375,4710,23820,19.7732
424,46530,7221,30614,23.5872
425,46534,2372,11263,21.0601
426,46601,1120,6090,18.3908
427,46613,2840,10893,26.0717
428,46748,2004,5134,39.0338
429,46765,1445,5341,27.0548
430,46774,4446,16008,27.7736
431,46795,1249,5608,22.2717
432,46802,2547,11086,22.9749
433,46989,968,5195,18.6333
434,46992,4687,16759,27.967
435,47220,1392,5652,24.6284
436,47330,1545,5755,26.8462
437,47610,1751,5195,33.7054
438,47660,1405,4934,28.4758
439,47904,4261,16277,26.178
440,47932,1443,5357,26.9367
441,46034,1641,6730,24.3833
442,46122,4363,14671,29.7389
443,46176,8675,27816,31.187
444,46229,6562,27262,24.0701
445,46310,3378,13565,24.9023
446,46403,1702,12601,13.5068
447,46507,2254,9128,24.6932
448,46561,3629,13343,27.1977
449,46565,917,7950,11.5345
450,46574,1723,8339,20.6619
451,46635,1528,6654,22.9636
452,46701,1906,7979,23.8877
453,46711,1441,7698,18.7191
454,46723,1809,7692,23.5179
455,46738,2319,7918,29.2876
456,46809,2473,8947,27.6405
457,46814,4138,12281,33.6943
458,46923,2016,8048,25.0497
459,47167,3411,15014,22.7187
460,47807,3072,13045,23.5492
461,47872,1851,8890,20.8211
462,47882,2103,8430,24.9466
463,46031,507,2161,23.4613
464,46052,5068,22060,22.9737
465,46113,4079,14063,29.0051
466,46163,3446,11963,28.8054
467,46164,890,3957,22.4917
468,46166,515,2306,22.333
469,46184,3389,11806,28.7057
470,46217,8516,29358,29.0074
471,46225,1382,7319,18.8823
472,46260,6606,32406,20.3851
473,46303,3234,14170,22.8228
474,46390,586,2796,20.9585
475,46501,839,3856,21.7582
476,46538,904,3867,23.3772
477,46784,521,2236,23.3005
478,46797,909,3957,22.9719
479,46803,2471,9758,25.3228
480,46805,5896,21306,27.6729
481,46816,4635,18116,25.5851
482,46845,7876,22117,35.6106
483,46901,9920,37633,26.3598
484,46951,395,2170,18.2027
485,46978,502,2059,24.3807
486,46996,1614,7139,22.6082
487,47102,1934,7255,26.6574
488,47229,824,3231,25.5029
489,47265,5291,20911,25.3024
490,47334,717,3263,21.9736
491,47336,817,3807,21.4604
492,47359,582,3143,18.5173
493,47433,901,4025,22.385
494,47448,1659,7505,22.1052
495,47520,700,3267,21.4263
496,47970,550,2034,27.0403
497,47987,976,4049,24.1047
498,46071,723,3417,21.1589
499,46075,1671,2913,57.3635
500,46157,887,3639,24.3748
501,46161,689,2655,25.951
502,46511,1262,4435,28.4554
503,46536,666,3445,19.3323
504,46619,5211,21408,24.3413
505,46710,1281,4679,27.3776
506,46792,945,3499,27.0077
507,46932,889,3448,25.783
508,47106,1100,4718,23.3149
509,47117,1031,4429,23.2783
510,47129,4813,19527,24.6479
511,47161,898,3735,24.0428
512,47250,6577,21944,29.9717
513,47432,1206,4537,26.5814
514,47512,945,3981,23.7377
515,47633,632,2542,24.8623
516,47634,557,2382,23.3837
518,47710,3928,19527,20.1157
519,47803,5159,21102,24.4479
520,47879,751,3302,22.7437
521,47920,642,2414,26.5948
522,46016,4291,19225,22.3198
523,46062,9267,29730,31.1705
524,46128,443,1949,22.7296
525,46135,4224,20992,20.1219
526,46236,5821,27294,21.327
527,46312,5903,29698,19.8767
528,46323,4611,22743,20.2743
529,46356,4248,17524,24.241
530,46614,7114,29573,24.0557
531,46743,538,1971,27.2957
532,46750,7541,27221,27.7028
533,46793,995,4292,23.1826
534,46804,7322,27245,26.8746
535,46825,7816,27931,27.9832
536,46952,6839,20308,33.6763
537,47018,1088,4275,25.4502
538,47240,2702,20832,12.9704
539,47260,428,1911,22.3966
540,47302,5939,27592,21.5243
541,47327,1025,4597,22.2971
542,47338,620,2827,21.9313
543,47355,558,2885,19.3414
544,47406,1137,4730,24.038
545,47421,7090,27831,25.4751
547,47562,743,4658,15.951
548,47715,5914,27063,21.8527
549,47933,6639,27937,23.7641
550,47957,361,1894,19.0601
551,47963,419,1949,21.4982
552,47971,545,1865,29.2225
553,46077,6554,24512,26.7379
554,46158,5571,23053,24.166
555,46208,4418,22239,19.866
556,46214,5910,24306,24.3149
557,46218,6098,29028,21.0073
558,46221,6342,26393,24.029
559,46234,6640,24810,26.7634
560,46256,4683,23647,19.8037
561,46304,5291,24207,21.8573
562,46321,4789,23603,20.2897
563,46324,4594,23165,19.8316
564,46517,6956,23764,29.2711
565,46528,6579,26104,25.203
566,46563,5616,23599,23.7976
567,46580,6158,21338,28.8593
568,46725,5934,23080,25.7105
569,46806,6511,23560,27.6358
570,46815,7222,26522,27.2302
571,46947,8574,28866,29.7027
572,46953,3914,24177,16.1889
573,46970,5662,23766,23.8239
574,47025,6046,22932,26.3649
575,47274,8151,28770,28.3315
576,47331,6320,23429,26.9751
577,47408,4555,24776,18.3847
578,47712,6424,26012,24.6962
579,46074,9187,26745,34.3503
580,46143,15179,48555,31.2614
581,46239,8107,25345,31.9865
582,46545,5987,25082,23.8697
583,46628,6159,25650,24.0116
584,47130,11592,44722,25.9201
585,47150,11687,47472,24.6187
586,47201,11392,41662,27.3438
587,47203,6605,25806,25.5948
588,47303,5316,25365,20.958
589,47374,12574,46875,26.8245
590,47401,6705,41011,16.3492
591,47404,4669,21026,22.2058
592,47546,6199,21009,29.5064
593,47591,7092,26770,26.4923
594,46032,10405,42234,24.6365
595,46226,8887,43904,20.2418
596,46227,13380,57086,23.4383
597,46307,15352,60619,25.3253
598,46350,9969,43650,22.8384
599,46360,9641,43625,22.0997
600,46516,9395,33501,28.0439
601,46835,9502,33604,28.2763
602,47906,18184,66972,27.1516
603,46033,7518,34889,21.5483
604,46037,11559,35891,32.2058
605,46038,11085,37723,29.3852
606,46060,10670,34708,30.7421
607,46112,10057,33662,29.8764
608,46123,10133,31754,31.9109
609,46131,8899,31036,28.6731
610,46140,10889,38543,28.2515
611,46142,7716,30413,25.3707
612,46151,7833,30921,25.3322
613,46203,8185,38950,21.0141
614,46219,7614,33930,22.4403
615,46220,6945,34830,19.9397
616,46222,7506,34044,22.0479
617,46224,7865,35094,22.4112
618,46235,7529,30825,24.4249
619,46237,10434,39624,26.3325
620,46254,8022,38095,21.0578
621,46368,8120,38691,20.9867
622,46383,8072,39687,20.3391
623,46385,8858,38866,22.7911
624,46410,7949,38340,20.7329
625,46514,11049,40263,27.442
626,46526,8724,30671,28.4438
627,46544,7771,30759,25.2641
628,46902,9058,35697,25.3746
629,47304,6504,30516,21.3134
630,47362,7729,30243,25.5563
631,47403,6927,30955,22.3776
632,47630,11524,34423,33.4776
633,47711,5250,31457,16.6894
634,47714,5773,34107,16.9261
635,47802,9695,34532,28.0754
636,47905,10527,38910,27.0547
637,47909,11494,39373,29.1925
638,46069,1712,6664,25.6902
639,46072,2172,9324,23.2947
640,46280,1501,6793,22.0962
641,46402,967,6726,14.377
642,46552,1454,6834,21.2759
643,46556,2343,7314,32.0344
644,46567,2132,9405,22.6687
645,46777,1641,6259,26.2182
646,46783,1857,6396,29.0337
647,47060,1397,6448,21.6656
648,47165,1369,6438,21.2643
649,47306,227,6189,3.6677
650,47396,1669,7030,23.7411
651,47441,2081,9269,22.4511
652,47567,1878,6021,31.1908
653,47885,2485,9009,27.5835
654,46050,354,1706,20.7502
655,46115,466,1933,24.1076
656,46124,2201,8127,27.0825
657,46371,820,3599,22.7841
658,46391,1554,9726,15.9777
659,46392,1705,7957,21.4276
660,46406,1594,9900,16.101
661,46539,483,2298,21.0182
662,46553,848,3428,24.7374
663,46617,2430,9601,25.3098
664,46742,769,3488,22.047
665,46767,2190,8564,25.5721
666,46772,435,3411,12.7528
667,46819,2292,8765,26.1494
668,46926,373,1708,21.8384
669,46940,695,2548,27.2762
670,46962,1990,9728,20.4564
671,47022,699,3358,20.8159
672,47143,955,3015,31.6749
673,47348,2422,9828,24.6438
674,47424,2017,9525,21.1758
675,47429,1846,7986,23.1154
676,47542,2810,9622,29.2039
677,47553,1655,8495,19.482
678,47665,1185,3637,32.5817
679,47838,843,4081,20.6567
680,47874,809,3414,23.6965
681,47944,945,3623,26.0833
682,46044,702,2965,23.6762
683,46064,4020,17148,23.4429
684,46106,2113,5928,35.6443
685,46121,1241,5276,23.5216
686,46126,1241,4668,26.5852
687,46181,1194,4832,24.7102
688,46202,4729,16335,28.9501
689,46347,980,4760,20.5882
690,46366,1209,5791,20.8772
691,46404,2720,17326,15.6989
692,46408,2511,17030,14.7445
693,46562,1120,4788,23.3918
694,46616,1317,5667,23.2398
695,46721,1387,5058,27.4219
696,46807,4236,16072,26.3563
697,46936,1540,5922,26.0047
698,46994,676,2684,25.1862
699,47126,1091,4250,25.6705
700,47136,1137,4178,27.2139
701,47140,578,2669,21.656
702,47172,4563,16059,28.4139
703,47243,1536,5951,25.8107
704,47246,1063,4342,24.4818
705,47368,667,2845,23.4446
706,47390,1012,5310,19.0583
707,47438,980,4798,20.4251
708,47452,1138,5359,21.2353
709,47635,1276,5671,22.5004
710,47809,70,2687,2.6051
711,47952,569,2798,20.3359
712,47959,648,2822,22.9624
713,46011,4054,16770,24.1741
714,46012,4492,19414,23.1379
715,46013,4499,17876,25.1678
716,46228,2998,14755,20.3185
717,46240,3898,18731,20.8104
718,46250,3986,18546,21.4925
719,46319,3583,18404,19.4685
720,46637,3808,15314,24.8661
721,46703,5066,18029,28.0991
722,46706,5340,18630,28.6634
723,46733,4526,18777,24.1039
724,46755,4577,15062,30.3877
725,46808,5048,19309,26.1432
726,46818,5808,18790,30.91
727,46975,3370,14691,22.9392
728,47112,4516,16722,27.0063
729,47170,4395,14795,29.7059
730,47501,5045,17535,28.771
731,47720,3235,17413,18.578
732,47834,4948,19215,25.7507
733,47960,3659,15003,24.3884
734,46036,2663,11663,22.8328
735,46040,4386,9944,44.1069
736,46055,3606,10193,35.3772
737,46173,3188,11190,28.4897
738,46231,2671,10440,25.5842
739,46259,3239,11617,27.8815
740,46341,2118,10426,20.3145
741,46373,3797,13859,27.3973
742,46405,2466,11746,20.9943
743,46506,1817,10070,18.0436
744,46540,2171,11702,18.5523
745,46615,3155,14609,21.5962
746,46714,3526,14645,24.0764
747,46761,2231,12039,18.5314
748,47001,2716,10422,26.0602
749,47006,2726,11727,23.2455
750,47012,2486,10188,24.4012
751,47111,4120,14533,28.3492
752,47119,2603,10911,23.8566
753,47122,2631,9979,26.3653
754,47371,2701,12226,22.0922
755,47446,2218,9990,22.2022
756,47460,2998,11471,26.1354
757,47586,2788,10932,25.5031
758,47601,4182,13896,30.0949
759,47620,3628,13427,27.0201
760,47804,2973,11020,26.9782
761,47842,2478,10085,24.5711
762,47978,2797,11793,23.7174
763,46107,2944,12774,23.0468
764,46394,2312,12258,18.8611
765,46407,1494,12656,11.8046
766,46550,2264,12311,18.39
767,46582,3511,12378,28.3648
768,47670,4302,12352,34.8283
769,47805,3375,12852,26.2605
770,Unknown,34666,Unknown,Unknown
