_id,ZIP_CD,PATIENT_COUNT,POPULATION,PERCENTAGE
387,47901,784,3518,22
388,47923,919,3494,26
389,47954,483,2220,22
390,47993,1217,3918,31
391,46001,2609,10459,25
392,46048,301,2406,13
393,46120,1649,5954,28
394,46130,619,2508,25
395,46172,511,2427,21
396,46182,579,1927,30
397,46201,5995,30962,19
398,46382,476,2108,23
399,46409,1106,8932,12
401,46919,427,2390,18
402,47108,398,2463,16
403,47125,335,1658,20
405,47227,350,1598,22
406,47235,433,1784,24
407,47380,379,2004,19
408,47384,505,2000,25
409,47462,1107,4871,23
410,47713,2721,11032,25
411,47946,492,2044,24
413,47990,411,1627,25
414,46041,6367,23891,27
415,46118,1116,5015,22
416,46167,1722,6336,27
417,46168,9605,30309,32
418,46204,2316,5125,45
419,46241,6924,30670,23
420,46268,5271,24965,21
421,46322,4920,23727,21
422,46342,7094,31244,23
423,46375,4710,23820,20
424,46530,7221,30614,24
425,46534,2372,11263,21
426,46601,1120,6090,18
427,46613,2840,10893,26
428,46748,2004,5134,39
429,46765,1445,5341,27
430,46774,4446,16008,28
431,46795,1249,5608,22
432,46802,2547,11086,23
433,46989,968,5195,19
434,46992,4687,16759,28
435,47220,1392,5652,25
436,47330,1545,5755,27
437,47610,1751,5195,34
438,47660,1405,4934,28
439,47904,4261,16277,26
440,47932,1443,5357,27
441,46034,1641,6730,24
442,46122,4363,14671,30
443,46176,8675,27816,31
444,46229,6562,27262,24
445,46310,3378,13565,25
446,46403,1702,12601,14
447,46507,2254,9128,25
448,46561,3629,13343,27
449,46565,917,7950,12
450,46574,1723,8339,21
451,46635,1528,6654,23
452,46701,1906,7979,24
453,46711,1441,7698,19
454,46723,1809,7692,24
455,46738,2319,7918,29
456,46809,2473,8947,28
457,46814,4138,12281,34
458,46923,2016,8048,25
459,47167,3411,15014,23
460,47807,3072,13045,24
461,47872,1851,8890,21
462,47882,2103,8430,25
463,46031,507,2161,23
464,46052,5068,22060,23
465,46113,4079,14063,29
466,46163,3446,11963,29
467,46164,890,3957,22
468,46166,515,2306,22
469,46184,3389,11806,29
470,46217,8516,29358,29
471,46225,1382,7319,19
472,46260,6606,32406,20
473,46303,3234,14170,23
474,46390,586,2796,21
475,46501,839,3856,22
476,46538,904,3867,23
477,46784,521,2236,23
478,46797,909,3957,23
479,46803,2471,9758,25
480,46805,5896,21306,28
481,46816,4635,18116,26
482,46845,7876,22117,36
483,46901,9920,37633,26
484,46951,395,2170,18
485,46978,502,2059,24
486,46996,1614,7139,23
487,47102,1934,7255,27
488,47229,824,3231,26
489,47265,5291,20911,25
490,47334,717,3263,22
491,47336,817,3807,21
492,47359,582,3143,19
493,47433,901,4025,22
494,47448,1659,7505,22
495,47520,700,3267,21
496,47970,550,2034,27
497,47987,976,4049,24
498,46071,723,3417,21
499,46075,1671,2913,57
500,46157,887,3639,24
501,46161,689,2655,26
502,46511,1262,4435,28
503,46536,666,3445,19
504,46619,5211,21408,24
505,46710,1281,4679,27
506,46792,945,3499,27
507,46932,889,3448,26
508,47106,1100,4718,23
509,47117,1031,4429,23
510,47129,4813,19527,25
511,47161,898,3735,24
512,47250,6577,21944,30
513,47432,1206,4537,27
514,47512,945,3981,24
515,47633,632,2542,25
516,47634,557,2382,23
518,47710,3928,19527,20
519,47803,5159,21102,24
520,47879,751,3302,23
521,47920,642,2414,27
522,46016,4291,19225,22
523,46062,9267,29730,31
524,46128,443,1949,23
525,46135,4224,20992,20
526,46236,5821,27294,21
527,46312,5903,29698,20
528,46323,4611,22743,20
529,46356,4248,17524,24
530,46614,7114,29573,24
531,46743,538,1971,27
532,46750,7541,27221,28
533,46793,995,4292,23
534,46804,7322,27245,27
535,46825,7816,27931,28
536,46952,6839,20308,34
537,47018,1088,4275,25
538,47240,2702,20832,13
539,47260,428,1911,22
540,47302,5939,27592,22
541,47327,1025,4597,22
542,47338,620,2827,22
543,47355,558,2885,19
544,47406,1137,4730,24
545,47421,7090,27831,25
547,47562,743,4658,16
548,47715,5914,27063,22
549,47933,6639,27937,24
550,47957,361,1894,19
551,47963,419,1949,21
552,47971,545,1865,29
553,46077,6554,24512,27
554,46158,5571,23053,24
555,46208,4418,22239,20
556,46214,5910,24306,24
557,46218,6098,29028,21
558,46221,6342,26393,24
559,46234,6640,24810,27
560,46256,4683,23647,20
561,46304,5291,24207,22
562,46321,4789,23603,20
563,46324,4594,23165,20
564,46517,6956,23764,29
565,46528,6579,26104,25
566,46563,5616,23599,24
567,46580,6158,21338,29
568,46725,5934,23080,26
569,46806,6511,23560,28
570,46815,7222,26522,27
571,46947,8574,28866,30
572,46953,3914,24177,16
573,46970,5662,23766,24
574,47025,6046,22932,26
575,47274,8151,28770,28
576,47331,6320,23429,27
577,47408,4555,24776,18
578,47712,6424,26012,25
579,46074,9187,26745,34
580,46143,15179,48555,31
581,46239,8107,25345,32
582,46545,5987,25082,24
583,46628,6159,25650,24
584,47130,11592,44722,26
585,47150,11687,47472,25
586,47201,11392,41662,27
587,47203,6605,25806,26
588,47303,5316,25365,21
589,47374,12574,46875,27
590,47401,6705,41011,16
591,47404,4669,21026,22
592,47546,6199,21009,30
593,47591,7092,26770,26
594,46032,10405,42234,25
595,46226,8887,43904,20
596,46227,13380,57086,23
597,46307,15352,60619,25
598,46350,9969,43650,23
599,46360,9641,43625,22
600,46516,9395,33501,28
601,46835,9502,33604,28
602,47906,18184,66972,27
603,46033,7518,34889,22
604,46037,11559,35891,32
605,46038,11085,37723,29
606,46060,10670,34708,31
607,46112,10057,33662,30
608,46123,10133,31754,32
609,46131,8899,31036,29
610,46140,10889,38543,28
611,46142,7716,30413,25
612,46151,7833,30921,25
613,46203,8185,38950,21
614,46219,7614,33930,22
615,46220,6945,34830,20
616,46222,7506,34044,22
617,46224,7865,35094,22
618,46235,7529,30825,24
619,46237,10434,39624,26
620,46254,8022,38095,21
621,46368,8120,38691,21
622,46383,8072,39687,20
623,46385,8858,38866,23
624,46410,7949,38340,21
625,46514,11049,40263,27
626,46526,8724,30671,28
627,46544,7771,30759,25
628,46902,9058,35697,25
629,47304,6504,30516,21
630,47362,7729,30243,26
631,47403,6927,30955,22
632,47630,11524,34423,33
633,47711,5250,31457,17
634,47714,5773,34107,17
635,47802,9695,34532,28
636,47905,10527,38910,27
637,47909,11494,39373,29
638,46069,1712,6664,26
639,46072,2172,9324,23
640,46280,1501,6793,22
641,46402,967,6726,14
642,46552,1454,6834,21
643,46556,2343,7314,32
644,46567,2132,9405,23
645,46777,1641,6259,26
646,46783,1857,6396,29
647,47060,1397,6448,22
648,47165,1369,6438,21
649,47306,227,6189,4
650,47396,1669,7030,24
651,47441,2081,9269,22
652,47567,1878,6021,31
653,47885,2485,9009,28
654,46050,354,1706,21
655,46115,466,1933,24
656,46124,2201,8127,27
657,46371,820,3599,23
658,46391,1554,9726,16
659,46392,1705,7957,21
660,46406,1594,9900,16
661,46539,483,2298,21
662,46553,848,3428,25
663,46617,2430,9601,25
664,46742,769,3488,22
665,46767,2190,8564,26
666,46772,435,3411,13
667,46819,2292,8765,26
668,46926,373,1708,22
669,46940,695,2548,27
670,46962,1990,9728,20
671,47022,699,3358,21
672,47143,955,3015,32
673,47348,2422,9828,25
674,47424,2017,9525,21
675,47429,1846,7986,23
676,47542,2810,9622,29
677,47553,1655,8495,19
678,47665,1185,3637,33
679,47838,843,4081,21
680,47874,809,3414,24
681,47944,945,3623,26
682,46044,702,2965,24
683,46064,4020,17148,23
684,46106,2113,5928,36
685,46121,1241,5276,24
686,46126,1241,4668,27
687,46181,1194,4832,25
688,46202,4729,16335,29
689,46347,980,4760,21
690,46366,1209,5791,21
691,46404,2720,17326,16
692,46408,2511,17030,15
693,46562,1120,4788,23
694,46616,1317,5667,23
695,46721,1387,5058,27
696,46807,4236,16072,26
697,46936,1540,5922,26
698,46994,676,2684,25
699,47126,1091,4250,26
700,47136,1137,4178,27
701,47140,578,2669,22
702,47172,4563,16059,28
703,47243,1536,5951,26
704,47246,1063,4342,24
705,47368,667,2845,23
706,47390,1012,5310,19
707,47438,980,4798,20
708,47452,1138,5359,21
709,47635,1276,5671,23
710,47809,70,2687,3
711,47952,569,2798,20
712,47959,648,2822,23
713,46011,4054,16770,24
714,46012,4492,19414,23
715,46013,4499,17876,25
716,46228,2998,14755,20
717,46240,3898,18731,21
718,46250,3986,18546,21
719,46319,3583,18404,19
720,46637,3808,15314,25
721,46703,5066,18029,28
722,46706,5340,18630,29
723,46733,4526,18777,24
724,46755,4577,15062,30
725,46808,5048,19309,26
726,46818,5808,18790,31
727,46975,3370,14691,23
728,47112,4516,16722,27
729,47170,4395,14795,30
730,47501,5045,17535,29
731,47720,3235,17413,19
732,47834,4948,19215,26
733,47960,3659,15003,24
734,46036,2663,11663,23
735,46040,4386,9944,44
736,46055,3606,10193,35
737,46173,3188,11190,28
738,46231,2671,10440,26
739,46259,3239,11617,28
740,46341,2118,10426,20
741,46373,3797,13859,27
742,46405,2466,11746,21
743,46506,1817,10070,18
744,46540,2171,11702,19
745,46615,3155,14609,22
746,46714,3526,14645,24
747,46761,2231,12039,19
748,47001,2716,10422,26
749,47006,2726,11727,23
750,47012,2486,10188,24
751,47111,4120,14533,28
752,47119,2603,10911,24
753,47122,2631,9979,26
754,47371,2701,12226,22
755,47446,2218,9990,22
756,47460,2998,11471,26
757,47586,2788,10932,26
758,47601,4182,13896,30
759,47620,3628,13427,27
760,47804,2973,11020,27
761,47842,2478,10085,25
762,47978,2797,11793,24
763,46107,2944,12774,23
764,46394,2312,12258,19
765,46407,1494,12656,12
766,46550,2264,12311,18
767,46582,3511,12378,28
768,47670,4302,12352,35
769,47805,3375,12852,26
770,Unknown,34666,Unknown,Unknown
