COUNTY,FEMALE_COUNT,MALE_COUNT,18-22_COUNT,23-27_COUNT,28-32_COUNT,33-37_COUNT,38-42_COUNT,43-47_COUNT,48-52_COUNT,53-57_COUNT,58-62_COUNT,63-67_COUNT,68-72_COUNT,73-77_COUNT,78-82_COUNT,83-87_COUNT,88-92_COUNT,93-97_COUNT,98-102_COUNT,103-107_COUNT,MARITAL_UNKNOWN_COUNT,MARRIED_COUNT,SEPARATED_COUNT,DIVORCED_COUNT,SINGLE_COUNT,WIDOWED_COUNT,NATIVE_AMERICAN_COUNT,ASIAN_COUNT,BLACK_COUNT,HAWAIIAN_COUNT,WHITE_COUNT,HISPANIC_COUNT,MULTIRACIAL_COUNT,CITIZEN_COUNT,NO_FORMAL_ED_COUNT,NO_HS_DIPLOMA_COUNT,HS_DIPLOMA_COUNT,ASSOCIATES_COUNT,BACHELORS_COUNT,SOME_COLLEGE_COUNT,GRAD_SCHOOL_COUNT,OTHER_CREDENTIALS_COUNT,ATTENDING_SCHOOL_COUNT,QUESTION_NUM,QUESTION_LONG_DESC,QUESTION_SHORT_DESC,QUESTION_COUNT,COUNTY_COUNT,ETL_RUN_TIMESTAMP
"Madison ",3745,1527,606,852,872,729,594,490,375,288,182,96,39,25,,,0,,,0,0,828,446,843,2961,109,,,763,,4184,163,41,5248,369,898,1172,101,34,0,26,47,647,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",5273,9301,2021.03.28 22:00:05
"Marion",27262,11416,4779,6573,6714,5427,4563,3162,2418,1924,1314,584,210,127,44,32,,,0,0,,4055,2527,3118,27180,573,64,374,18584,22,16434,2514,278,37422,4425,12429,9403,883,572,,179,351,3372,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",38685,83724,2021.03.28 22:00:05
"Marshall ",697,229,88,175,175,126,119,75,48,47,42,,0,,,,,0,0,0,0,209,89,167,423,,0,,,0,817,75,,915,81,227,232,32,,0,,,69,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",926,1808,2021.03.28 22:00:05
"Martin ",191,77,32,44,36,39,30,27,,21,,,,0,,0,0,0,0,0,0,67,24,52,115,,0,,,0,262,,0,266,,104,51,,,0,0,,21,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",268,820,2021.03.28 22:00:05
"Miami ",711,290,111,161,181,153,137,83,68,46,24,,,,,0,0,0,0,0,0,253,95,177,446,,,0,32,0,924,23,,999,77,270,123,,,0,,,114,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",1001,1787,2021.03.28 22:00:05
"Monroe ",2100,1065,540,570,462,442,353,245,185,148,89,42,,,,,0,0,0,0,,480,195,477,1830,38,,27,347,,2616,99,22,3135,505,909,578,72,67,0,,25,514,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",3166,6156,2021.03.28 22:00:05
"Montgomery ",719,265,119,176,197,145,106,79,41,44,32,,,0,,,0,0,0,0,,241,75,166,441,22,,,,,920,32,,977,125,223,312,,,0,,,72,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",984,1925,2021.03.28 22:00:05
"Morgan ",1397,508,202,290,323,241,237,174,145,97,77,40,,,,,0,0,0,0,,357,156,361,921,56,,,,,1821,,,1901,170,420,701,41,,0,,26,156,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",1905,3687,2021.03.28 22:00:05
"Newton ",214,77,34,38,60,34,40,24,21,,,,0,,0,0,,0,0,0,0,69,30,41,137,,0,,,0,269,,,290,23,77,59,,,0,0,,,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",291,555,2021.03.28 22:00:05
"Noble ",727,242,119,147,169,132,122,86,60,55,30,,,,,0,0,0,0,0,,216,83,178,466,,,,,,842,77,,961,61,202,188,,,0,,,113,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",969,1866,2021.03.28 22:00:05
"Ohio ",77,29,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,60,,0,0,0,0,100,,0,104,,,,0,0,0,0,0,25,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",106,196,2021.03.28 22:00:05
"Orange ",475,163,86,103,101,99,78,47,37,30,,,,,,0,0,0,0,0,0,164,48,140,259,,,0,,,621,,,636,60,180,170,,,0,0,0,43,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",638,1244,2021.03.28 22:00:05
"Owen ",374,182,64,80,93,63,67,57,48,33,22,,,,,0,0,0,0,0,0,129,49,114,237,,0,,,0,541,,,553,69,147,158,,,0,,,30,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",556,1148,2021.03.28 22:00:05
"Parke ",247,90,38,45,55,41,28,33,36,26,,,,,,0,0,0,0,0,0,71,29,59,154,,0,0,,,317,,,335,42,126,66,,,0,,,24,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",337,954,2021.03.28 22:00:05
"Perry ",357,128,57,94,73,64,63,47,38,22,,,,,,0,0,0,0,0,,92,47,93,240,,,0,,,467,0,,487,33,184,114,,,0,0,,44,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",487,965,2021.03.28 22:00:05
"Pike ",196,74,21,49,49,47,28,,,21,,,,0,0,0,0,0,0,0,0,74,28,41,117,,0,0,,0,256,,,269,29,83,58,,,0,,,,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",270,802,2021.03.28 22:00:05
"Porter ",2481,980,396,586,551,470,465,306,232,185,112,53,21,,,,,0,0,0,0,555,239,520,1974,63,,,362,,2613,384,34,3444,354,733,809,82,52,0,,63,341,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",3461,6650,2021.03.28 22:00:05
"Posey ",350,144,52,63,82,70,65,60,33,36,,,,,,0,0,0,0,0,0,120,48,100,196,,0,,,,467,,,493,46,117,174,,,0,,,30,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",494,983,2021.03.28 22:00:05
"Pulaski ",229,75,34,41,54,42,43,31,26,,,,,0,,0,0,0,0,0,0,62,39,53,135,,,0,,0,280,,,303,23,62,61,,0,0,,,28,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",304,571,2021.03.28 22:00:05
"Putnam ",542,210,99,113,130,97,109,69,41,35,26,,,0,,0,,0,0,0,0,190,65,124,340,,0,0,,0,726,,0,751,65,272,193,,,0,,,50,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",752,1528,2021.03.28 22:00:05
"Randolph ",465,205,73,105,115,97,90,61,43,34,23,,,,,0,,0,0,0,0,135,53,126,333,,,0,,0,624,,,668,48,123,118,,,0,,,85,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",670,1192,2021.03.28 22:00:05
"Ripley ",530,173,96,108,145,76,101,56,41,,29,,,,,0,0,0,0,0,0,144,67,116,357,,,0,,,672,,,689,33,96,152,,,0,,,185,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",703,1194,2021.03.28 22:00:05
"Rush ",338,114,49,80,81,72,46,40,23,,,,,0,0,0,0,0,0,0,0,118,37,75,209,,,0,,0,419,,,440,22,37,66,,,0,0,,116,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",452,808,2021.03.28 22:00:05
"Saint Joseph ",6123,2446,1047,1357,1487,1146,1083,742,572,422,286,147,46,25,,,,0,,0,,1147,612,927,5475,109,23,41,2650,,4870,742,111,8437,874,2450,1688,135,128,0,39,56,788,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",8569,16834,2021.03.28 22:00:05
"Scott ",672,241,100,133,159,134,115,88,65,56,28,,,,,0,,0,0,0,0,181,80,173,438,23,,,,0,855,,,899,43,124,131,,,0,0,,176,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",913,1600,2021.03.28 22:00:05
"Shelby ",877,348,140,196,188,178,127,99,113,79,50,,,,,,0,0,0,0,0,192,126,242,623,31,0,,31,0,1125,37,,1190,34,123,243,23,,0,,,293,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",1225,2156,2021.03.28 22:00:05
"Spencer ",285,109,47,58,62,44,49,29,33,21,,,,,,,0,0,0,0,0,84,44,71,178,,0,0,,,379,,,391,54,83,110,,,0,0,24,24,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",394,804,2021.03.28 22:00:05
"Starke ",466,188,67,108,95,88,75,56,60,43,24,,,,,,0,0,0,0,,147,62,107,307,,,0,,0,618,,,653,39,127,160,,,0,,0,36,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",654,1250,2021.03.28 22:00:05
"Steuben ",557,193,81,152,121,105,95,62,46,28,26,,,,0,0,0,0,0,0,0,192,63,102,354,,,,,0,695,28,,742,68,161,137,,,0,,,95,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",750,1355,2021.03.28 22:00:05
"Sullivan ",441,163,87,107,96,70,76,62,31,28,,,,,0,0,0,0,0,0,0,138,40,128,273,,,0,,0,590,,,602,66,148,186,,,0,0,,48,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",604,1188,2021.03.28 22:00:05
"Switzerland ",205,74,29,47,51,52,23,23,,,,,,0,0,0,0,0,0,0,0,60,22,35,149,,0,,,0,264,,,277,,25,64,,,0,0,0,42,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",279,476,2021.03.28 22:00:05
"Tippecanoe ",3112,1194,630,844,763,553,459,332,222,162,142,48,22,,,,0,0,0,0,,656,291,523,2649,49,,27,936,,2947,311,36,4236,438,1279,1093,89,51,0,,33,424,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",4306,8689,2021.03.28 22:00:05
"Tipton ",249,74,32,48,49,52,52,33,,,,,,0,0,0,0,0,0,0,0,78,23,63,150,,,,,,296,,,323,,54,58,,,0,0,,50,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",323,586,2021.03.28 22:00:05
"Union ",140,42,,37,25,24,29,,,,,,0,0,,0,0,0,0,0,0,48,,40,81,,0,0,,,178,0,0,178,,30,40,,,0,0,,35,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",182,363,2021.03.28 22:00:05
"Vanderburgh ",4589,2043,834,1036,1001,953,849,638,453,361,211,91,31,21,,,0,,0,0,,858,509,1066,3935,117,,39,1299,24,4945,154,65,6578,584,1785,1948,183,85,0,,132,494,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",6632,13191,2021.03.28 22:00:05
"Vermillion ",331,136,62,73,73,55,59,45,36,21,,,,0,0,,0,0,0,0,0,106,38,91,215,,0,,,0,452,,,466,77,188,72,,,0,0,,36,"1","In the last 12 months, did you ever eat less than you felt you should because there wasn't enough money for food?","Not enough money for food last 12 mos.?",467,954,2021.03.28 22:00:05
